rank,is_eligible,ineligible_reason,name,max_commission,max_mev_commission,validator_age,total_credits_M,identity
180,true,"","Argentina_",0,0,79,200.724748,"8HxxkmjxP5cx3Q4hEhRG4aCDpzMdARCfRKTgrevDsL5S"
181,true,"","Brr_Brr_Patapim",0,0,79,200.724745,"Cayzy3AWZfUK4MpBvdEEJRdJY7tE95EAMLzGauuyHcg1"
182,true,"","Ronaldo",0,0,79,200.724721,"J4Aw8KDh4GKHm9WvGaFbpDefNkqZkh8fvMC2GCuhPsv8"
183,true,"","Spongebob",0,0,79,200.724413,"CNhoQcXia4kvPu37sTZcLyGLqQjHhBXJ6KFDcJyaefVi"
184,true,"","Miami_Validator",0,0,79,200.724184,"4YTGPNYu1Rt3kzpSWrkT4vAuSzcMF3M5JpBaCPMprsvN"
185,true,"","4_Leaf_Clover",0,0,79,200.724042,"3qUV4z9h4JMjuaCkS5xQEuqb3G7okBHFasmqDWXZmtq9"
186,true,"","SuperSniper",0,0,79,200.724026,"Cx8Bd26EPfnhoAM94hNW1ot3vESEDsMDqD7Jgw31Pzqj"
187,true,"","Corona",0,0,79,200.723097,"3MZ5eU8EEJfyh5p2p4CXXJVmhXtu4DuUGYRLykRd3Hzp"
188,true,"","Dont_Die_",0,0,79,200.723019,"3mWHXRvacepHvzpCx5nhVJWhdLy4nok6hmpegDXDYfTr"
189,true,"","BaldMan_Ventures",0,0,79,200.592421,"84YLEg7HE4rfvamnk7kVayJcX5iWX42jjaDLFg3WTVQA"
190,true,"","Hayek",0,0,78,200.556317,"hykfH9jUQqe2yqv3VqVAK5AmMYqrmMWmdwDcbfsm6My"
191,true,"","Cointelegraph_Decentra",0,0,78,200.524861,"CTDGxTK789ZvhgyHZHtSnxTtysbyY1mrywXEJiYYqXxC"
192,true,"","InfiniteSOL_0_Fees",0,0,76,200.560117,"ADjyeNzWd8yhEjCVyAqT87eqoyGRbimERQsNhFQcXjop"
193,true,"","_Buffalo_Steve",0,0,76,200.458754,"GQqxGEmi6aMBZtcfmfmC5Jgx33X57ksvNYoo8bMH52T9"
194,true,"","hoo2_Validator_0FeeMEV",0,0,72,199.508581,"pidrcoD3t88h8MzJU2EACHL8A6iMoQqwueXPA8KLwUS"
